date,State,cases,deaths,population,new_cases,new_deaths,cases_per_100k,deaths_per_100k,new_cases_per_100k,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,overall_pct_change,AREA_SQMI,White,IncomePerCap,Poverty,ChildPoverty,Service,Production,dem_gop_diff_16,FBFilterBubble
2020-04-07,FL,14745,296,21477737,1143.7142857142858,30.142857142857142,68.65248419793947,1.378171266367588,5.325115424005266,-46.0,-23.0,-46.0,-56.0,-49.0,20.0,-33.333333333333336,53634.00899999999,56.05955320055635,26829.026218465733,16.5641158973035,24.077427988067864,20.65058790257771,9.119582885314967,-0.008108750083542709,3.5144658160060693
2020-04-08,FL,15696,323,21477737,1162.857142857143,32.285714285714285,73.08032498954616,1.5038828345835504,5.41424426072981,-46.0,-23.0,-45.0,-57.0,-49.0,20.0,-33.333333333333336,53634.00899999999,56.05955320055635,26829.026218465733,16.5641158973035,24.077427988067864,20.65058790257771,9.119582885314967,-0.008108750083542709,3.5144658160060693
2020-04-09,FL,16824,371,21477737,1117.857142857143,32.42857142857143,78.33227495056857,1.7273700669674836,5.204724980369872,-46.0,-21.0,-46.0,-58.0,-50.0,21.0,-33.333333333333336,53634.00899999999,56.05955320055635,26829.026218465733,16.5641158973035,24.077427988067864,20.65058790257771,9.119582885314967,-0.008108750083542709,3.5144658160060693
2020-04-10,FL,17966,419,21477737,1101.142857142857,35.57142857142857,83.64940868770299,1.9508572993514168,5.126903533379039,-47.0,-20.0,-48.0,-61.0,-53.0,23.0,-34.333333333333336,53634.00899999999,56.05955320055635,26829.026218465733,16.5641158973035,24.077427988067864,20.65058790257771,9.119582885314967,-0.008108750083542709,3.5144658160060693
2020-04-11,FL,18984,446,21477737,1064.2857142857142,35.857142857142854,88.38920040784558,2.0765688675673792,4.955297265655661,-49.0,-20.0,-54.0,-65.0,-40.0,15.0,-35.5,53634.00899999999,56.05955320055635,26829.026218465733,16.5641158973035,24.077427988067864,20.65058790257771,9.119582885314967,-0.008108750083542709,3.5144658160060693
2020-04-12,FL,19893,461,21477737,1078.142857142857,34.285714285714285,92.62148987111631,2.146408627687358,5.019815901195071,-66.0,-49.0,-63.0,-69.0,-50.0,15.0,-47.0,53634.00899999999,56.05955320055635,26829.026218465733,16.5641158973035,24.077427988067864,20.65058790257771,9.119582885314967,-0.008108750083542709,3.5144658160060693
2020-04-13,FL,21017,461,21477737,1056.142857142857,29.571428571428573,97.85481589610674,2.146408627687358,4.917384253019102,-47.0,-24.0,-53.0,-59.0,-47.0,19.0,-35.166666666666664,53634.00899999999,56.05955320055635,26829.026218465733,16.5641158973035,24.077427988067864,20.65058790257771,9.119582885314967,-0.008108750083542709,3.5144658160060693
2020-04-14,FL,21625,571,21477737,982.8571428571429,39.285714285714285,100.6856541729699,2.6585668685672053,4.57616713929006,-46.0,-23.0,-52.0,-56.0,-48.0,20.0,-34.166666666666664,53634.00899999999,56.05955320055635,26829.026218465733,16.5641158973035,24.077427988067864,20.65058790257771,9.119582885314967,-0.008108750083542709,3.5144658160060693
2020-04-15,FL,22514,614,21477737,974.0,41.57142857142857,104.82482395608066,2.8587741809111455,4.534928423790644,-42.0,-21.0,-53.0,-56.0,-47.0,20.0,-33.166666666666664,53634.00899999999,56.05955320055635,26829.026218465733,16.5641158973035,24.077427988067864,20.65058790257771,9.119582885314967,-0.008108750083542709,3.5144658160060693
2020-04-16,FL,23337,668,21477737,930.4285714285714,42.42857142857143,108.65669879466351,3.1101973173430704,4.332060549156419,-44.0,-22.0,-56.0,-57.0,-48.0,21.0,-34.333333333333336,53634.00899999999,56.05955320055635,26829.026218465733,16.5641158973035,24.077427988067864,20.65058790257771,9.119582885314967,-0.008108750083542709,3.5144658160060693
2020-04-17,FL,24744,726,21477737,968.2857142857143,43.857142857142854,115.20766829391756,3.3802443898069896,4.508322800887795,-44.0,-21.0,-47.0,-58.0,-47.0,21.0,-32.666666666666664,53634.00899999999,56.05955320055635,26829.026218465733,16.5641158973035,24.077427988067864,20.65058790257771,9.119582885314967,-0.008108750083542709,3.5144658160060693
2020-04-18,FL,25488,748,21477737,929.1428571428571,43.142857142857146,118.67172039586852,3.4826760379829587,4.326074284003278,-49.0,-25.0,-60.0,-62.0,-38.0,15.0,-36.5,53634.00899999999,56.05955320055635,26829.026218465733,16.5641158973035,24.077427988067864,20.65058790257771,9.119582885314967,-0.008108750083542709,3.5144658160060693
2020-04-19,FL,26309,774,21477737,916.5714285714286,44.714285714285715,122.49428326643537,3.6037316221909226,4.267541913617009,-48.0,-23.0,-52.0,-64.0,-40.0,13.0,-35.666666666666664,53634.00899999999,56.05955320055635,26829.026218465733,16.5641158973035,24.077427988067864,20.65058790257771,9.119582885314967,-0.008108750083542709,3.5144658160060693
2020-04-20,FL,27053,823,21477737,862.2857142857143,51.714285714285715,125.95833536838634,3.8318748385828543,4.014788496039943,-44.0,-25.0,-54.0,-58.0,-46.0,19.0,-34.666666666666664,53634.00899999999,56.05955320055635,26829.026218465733,16.5641158973035,24.077427988067864,20.65058790257771,9.119582885314967,-0.008108750083542709,3.5144658160060693
2020-04-21,FL,27864,867,21477737,891.2857142857143,42.285714285714285,129.7343383988732,4.036738134934793,4.149812032271902,-41.0,-20.0,-43.0,-53.0,-46.0,19.0,-30.666666666666668,53634.00899999999,56.05955320055635,26829.026218465733,16.5641158973035,24.077427988067864,20.65058790257771,9.119582885314967,-0.008108750083542709,3.5144658160060693
2020-04-22,FL,28576,927,21477737,866.0,44.714285714285715,133.04939901256822,4.3160971754147095,4.032082150926795,-41.0,-20.0,-40.0,-54.0,-46.0,19.0,-30.333333333333332,53634.00899999999,56.05955320055635,26829.026218465733,16.5641158973035,24.077427988067864,20.65058790257771,9.119582885314967,-0.008108750083542709,3.5144658160060693
2020-04-23,FL,29647,987,21477737,901.4285714285714,45.57142857142857,138.03595788513474,4.595456215894626,4.19703701292446,-43.0,-21.0,-47.0,-55.0,-47.0,20.0,-32.166666666666664,53634.00899999999,56.05955320055635,26829.026218465733,16.5641158973035,24.077427988067864,20.65058790257771,9.119582885314967,-0.008108750083542709,3.5144658160060693
2020-04-24,FL,30533,1046,21477737,827.0,45.714285714285715,142.1611597162215,4.870159272366544,3.8504987746148487,-47.0,-25.0,-60.0,-60.0,-47.0,23.0,-36.0,53634.00899999999,56.05955320055635,26829.026218465733,16.5641158973035,24.077427988067864,20.65058790257771,9.119582885314967,-0.008108750083542709,3.5144658160060693
2020-04-25,FL,30835,1055,21477737,763.8571428571429,43.857142857142854,143.56726688663707,4.912063128438532,3.5565066415383653,-45.0,-19.0,-52.0,-59.0,-36.0,13.0,-33.0,53634.00899999999,56.05955320055635,26829.026218465733,16.5641158973035,24.077427988067864,20.65058790257771,9.119582885314967,-0.008108750083542709,3.5144658160060693
2020-04-26,FL,31527,1074,21477737,745.4285714285714,42.857142857142854,146.78920782017212,5.000526824590505,3.470703507676677,-47.0,-23.0,-52.0,-63.0,-40.0,12.0,-35.5,53634.00899999999,56.05955320055635,26829.026218465733,16.5641158973035,24.077427988067864,20.65058790257771,9.119582885314967,-0.008108750083542709,3.5144658160060693
2020-04-27,FL,32135,1088,21477737,726.0,37.857142857142854,149.62004609703527,5.065710600702485,3.3802443898069896,-38.0,-19.0,-39.0,-54.0,-44.0,17.0,-29.5,53634.00899999999,56.05955320055635,26829.026218465733,16.5641158973035,24.077427988067864,20.65058790257771,9.119582885314967,-0.008108750083542709,3.5144658160060693
